nlayers,lr,acc
6,0.00014159178317881785,0.1736999899148941
2,0.00032269618514031153,0.40119999647140503
5,0.25169675825781507,0.09999999403953552
4,0.24651686617447446,0.09999999403953552
5,0.5800484441929186,0.09999999403953552
6,0.010845410086695208,0.48179998993873596
1,0.0007430804370319748,0.4624999761581421
5,0.005754164456964355,0.4822999835014343
5,8.070777760276467e-05,0.20520000159740448
4,0.00014660656316486871,0.335099995136261
3,0.15560295000001298,0.09999999403953552
6,0.0030377886588697626,0.4545999765396118
5,0.1615415107152389,0.09999999403953552
5,0.0012878846184825631,0.4285999834537506
5,0.0003087095618481417,0.33489999175071716
2,0.06256849054335863,0.09999999403953552
6,0.7194981333705084,0.09999999403953552
5,0.0013622072119373677,0.4251999855041504
4,0.577453791283305,0.09999999403953552
6,0.0024446347736334383,0.4226999878883362
1,0.0004004049242756418,0.41909998655319214
6,0.6138921091530148,0.09999999403953552
2,0.06909080704977413,0.09999999403953552
1,0.0030848051547592284,0.09999999403953552
5,0.0002969244038753605,0.32690000534057617
2,0.0012664569537994546,0.45260000228881836
6,0.0038684384644366515,0.457099974155426
6,0.0002020222511125207,0.22289998829364777
6,0.0031399178875270357,0.4544999897480011
5,0.0013688774356882003,0.43459999561309814
1,8.360927631442801e-05,0.3595999777317047
5,0.2542633567511342,0.09999999403953552
3,0.375033062370996,0.09999999403953552
5,0.047430199524018536,0.4958999752998352
5,0.2504329377742854,0.09999999403953552
6,0.0002891073661861585,0.21329998970031738
1,0.2442413658884724,0.09999999403953552
4,0.0028016384159324013,0.4684999883174896
6,0.046435695115155835,0.4827999770641327
6,0.001508351708591148,0.398499995470047
5,0.024653435454069922,0.4975999891757965
5,0.08686569409370065,0.4781999886035919
2,0.007292545625603325,0.4180999994277954
1,0.000422560077311847,0.4332999885082245
3,0.00013332336042194866,0.34939998388290405
1,0.03510618233975635,0.09999999403953552
4,0.009517167674256255,0.4908999800682068
6,0.00027142785051465613,0.23879998922348022
3,4.800169420535563e-05,0.30480000376701355
3,0.003025330223845872,0.469899982213974
6,0.0013464103811881177,0.3904999792575836
6,5.384658650463135e-05,0.15760000050067902
6,0.4164517326035216,0.09999999403953552
3,0.053581746244967386,0.09999999403953552
6,0.01789050491186352,0.4761999845504761
6,0.00025714949536330493,0.22819998860359192
6,0.007438105187377018,0.47099998593330383
5,0.020186693366471803,0.4997999966144562
3,0.02449204554764155,0.09999999403953552
6,0.021879755454025464,0.49889999628067017
2,0.02803840206650269,0.09999999403953552
4,0.00024761588264024395,0.3682999908924103
5,0.5966288497454936,0.09999999403953552
3,0.06295586507213165,0.09999999403953552
1,0.06114407756343188,0.09999999403953552
6,0.09951599529778597,0.47929999232292175
2,0.00428131518424545,0.4440999925136566
4,0.00467520408737511,0.47509998083114624
4,0.655562907016559,0.09999999403953552
3,0.02908644726689348,0.09999999403953552
